record_1_id,record_2_id,similarity_score,hire_date_diff_days,recommended_action,record_1_name,record_2_name,record_1_company,record_2_company,dedup_method
GT-007166,AC-000000,100.0,0,review,John Allen,John Allen,GlobalTech,AcquiredCo,fuzzy_name
GT-005191,AC-002393,100.0,0,review,Janet Young,Janet Young,GlobalTech,AcquiredCo,fuzzy_name
GT-014913,AC-000199,100.0,0,review,Mary Mason,Mary Mason,GlobalTech,AcquiredCo,fuzzy_name
GT-001274,AC-001262,100.0,0,review,Donald Russell,Donald Russell,GlobalTech,AcquiredCo,fuzzy_name
AC-002737,GT-003960,100.0,1,review,Richard Boyd,Richard Boyd,AcquiredCo,GlobalTech,fuzzy_name
GT-009376,AC-001667,100.0,1,review,Kenneth Lee,Kenneth Lee,GlobalTech,AcquiredCo,fuzzy_name
AC-001842,GT-014147,100.0,3,review,Jack Gomez,Jack Gomez,AcquiredCo,GlobalTech,fuzzy_name
GT-009632,AC-001129,100.0,3,review,Emma White,Emma White,GlobalTech,AcquiredCo,fuzzy_name
AC-002967,GT-002832,100.0,3,review,Debra Wright,Debra Wright,AcquiredCo,GlobalTech,fuzzy_name
AC-002948,GT-013762,100.0,3,review,Catherine Robinson,Catherine Robinson,AcquiredCo,GlobalTech,fuzzy_name
GT-008092,AC-000124,100.0,3,review,Nicholas Stevens,Nicholas Stevens,GlobalTech,AcquiredCo,fuzzy_name
GT-005235,AC-002097,100.0,4,review,Richard Mason,Richard Mason,GlobalTech,AcquiredCo,fuzzy_name
GT-003738,AC-000170,100.0,5,review,Ashley King,Ashley King,GlobalTech,AcquiredCo,fuzzy_name
GT-002584,AC-001486,100.0,5,review,Christine Reeves,Christine Reeves,GlobalTech,AcquiredCo,fuzzy_name
AC-000023,GT-012489,100.0,5,review,Margaret Peterson,Margaret Peterson,AcquiredCo,GlobalTech,fuzzy_name
AC-002744,GT-010797,100.0,6,review,Stephen Reyes,Stephen Reyes,AcquiredCo,GlobalTech,fuzzy_name
GT-012639,AC-002814,100.0,6,review,Michael Walker,Michael Walker,GlobalTech,AcquiredCo,fuzzy_name
