employee_id,first_name,last_name,email,department,job_title,hire_date,country,employment_type,manager_id
1,Michael,King,michael.king@globaltech.com,Manufacturing,Data Analyst,2016-09-21,Netherlands,Full-Time,12765
2,David,Phillips,david.phillips@globaltech.com,Strategy,Systems Administrator,2022-02-06,India,Contractor,1662
3,Kenneth,Martinez,kenneth.martinez@globaltech.com,Human Resources,Business Analyst,2021-06-10,United Kingdom,Contractor,6142
4,Paul,Cooper,paul.cooper@globaltech.com,Human Resources,Marketing Specialist,2024-09-07,Hong Kong,Full-Time,5904
5,Stephen,Parker,stephen.parker@globaltech.com,Marketing,Project Manager,2023-03-09,China,Part-Time,566
6,Patricia,Morris,patricia.morris@globaltech.com,Data Science,Systems Administrator,2018-12-31,Germany,Part-Time,6142
7,Andrew,Bennett,andrew.bennett@globaltech.com,Product,Data Engineer,2015-01-08,Switzerland,Full-Time,13291
8,Linda,Thomas,linda.thomas@globaltech.com,Manufacturing,Financial Analyst,2021-02-08,Japan,Full-Time,11886
9,Scott,Kennedy,scott.kennedy@globaltech.com,Human Resources,Data Engineer,2015-06-05,Canada,Full-Time,
10,Thomas,Martin,thomas.martin@globaltech.com,Manufacturing,Account Executive,2022-10-17,Germany,Contractor,
11,Peter,Davis,peter.davis@globaltech.com,Human Resources,Software Engineer,2019-11-18,Australia,Part-Time,1854
12,Pamela,Gordon,pamela.gordon@globaltech.com,Product,Data Engineer,2020-10-25,South Korea,Full-Time,13272
13,Richard,Anderson,richard.anderson@globaltech.com,Human Resources,Data Analyst,2015-03-14,Japan,Part-Time,6333
14,Deborah,Russell,deborah.russell@globaltech.com,Operations,Marketing Manager,2023-05-05,India,Part-Time,12586
15,Lisa,Campbell,lisa.campbell@globaltech.com,DevOps,HR Specialist,2023-08-19,India,Part-Time,7587
16,Anna,Lewis,anna.lewis@globaltech.com,Manufacturing,Software Engineer,2018-07-19,India,Full-Time,8563
17,Brian,Bell,brian.bell@globaltech.com,Sales,Controller,2019-02-09,France,Full-Time,2254
18,Mary,Bennett,mary.bennett@globaltech.com,Business Development,Solutions Architect,2020-04-22,Spain,Part-Time,4196
19,Laura,Anderson,laura.anderson@globaltech.com,Sales,Project Manager,2021-12-01,United States,Contractor,
20,Catherine,Wilson,catherine.wilson@globaltech.com,Communications,Marketing Manager,2022-11-28,Netherlands,Contractor,5936
21,Nancy,Campbell,nancy.campbell@globaltech.com,Customer Success,Staff Engineer,2015-10-03,China,Contractor,
22,Richard,Ramos,richard.ramos@globaltech.com,Legal,Staff Engineer,2022-09-18,China,Part-Time,12425
23,Dorothy,Rodriguez,dorothy.rodriguez@globaltech.com,Quality Assurance,Account Executive,2017-05-23,United Kingdom,Full-Time,7454
24,Katherine,Mason,katherine.mason@globaltech.com,Information Technology,Controller,2016-08-31,Ireland,Contractor,73
25,Peter,Wright,peter.wright@globaltech.com,DevOps,Marketing Manager,2016-05-16,Sweden,Full-Time,10302
26,Linda,Mason,linda.mason@globaltech.com,Strategy,QA Lead,2018-02-17,South Korea,Full-Time,4568
27,Anna,Robinson,anna.robinson@globaltech.com,Supply Chain,Software Engineer,2016-12-25,United Kingdom,Part-Time,3633
28,Mary,Lopez,mary.lopez@globaltech.com,DevOps,Systems Administrator,2024-12-20,Netherlands,Part-Time,
