first_name,last_name,phone,region,registration_date,opt_out,source,email_raw,email_valid,source_priority,email,sources,source_count
Léa,González,5551234567,EU,2022-01-01,True,crm,customer786@gmail.com,True,1,customer786@gmail.com,"crm,website,erp",3.0
André,Martínez,5551234567,APAC,2022-08-01,False,crm,customer440@company.com,True,1,customer440@company.com,"crm,website",2.0
John,González,+15551234567,US,2021-04-01,False,crm,customer475@yahoo.com,True,1,customer475@yahoo.com,"crm,website",2.0
Sarah,González,5551234567,EU,2023-05-01,False,crm,customer408@gmail.com,True,1,customer408@gmail.com,"crm,website",2.0
François,Martínez,5551234567,US,2023-03-01,False,crm,customer249@gmail.com,True,1,customer249@gmail.com,"crm,website",2.0
Müller,Johnson,+15551234567,EU,2021-03-01,False,crm,customer454@yahoo.com,True,1,customer454@yahoo.com,"crm,website,erp",3.0
Müller,Jones,5551234567,US,2021-09-01,False,crm,customer209@company.com,True,1,customer209@company.com,"crm,website,erp",3.0
Pat,Wang,+15551234567,US,2023-11-01,False,crm,customer402@gmail.com,True,1,customer402@gmail.com,"crm,website,erp",3.0
Pat,López,+442079460958,US,2022-01-01,True,crm,customer146@company.com,True,1,customer146@company.com,"crm,website",2.0
Sam,González,5551234567,US,2022-02-01,False,crm,customer21@gmail.com,True,1,customer21@gmail.com,"crm,website",2.0
Léa,Garcia,,EU,2021-09-01,False,crm,customer762@gmail.com,True,1,customer762@gmail.com,crm,1.0
André,Díaz,+81312345678,EU,2022-08-01,False,crm,customer713@company.com,True,1,customer713@company.com,"crm,website,erp",3.0
Mike,Díaz,+442079460958,US,2022-08-01,False,crm,customer622@yahoo.com,True,1,customer622@yahoo.com,"crm,website",2.0
Mike,Díaz,+15551234567,US,2020-08-01,False,crm,customer256@yahoo.com,True,1,customer256@yahoo.com,"crm,website",2.0
Chris,González,5551234567,EU,2020-08-01,False,crm,customer775@yahoo.com,True,1,customer775@yahoo.com,"crm,website",2.0
José,González,+442079460958,US,2023-02-01,True,crm,customer462@gmail.com,True,1,customer462@gmail.com,crm,1.0
Alex,Williams,+81312345678,EU,2022-03-01,False,crm,customer151@yahoo.com,True,1,customer151@yahoo.com,crm,1.0
André,Brown,+15551234567,EU,2021-12-01,True,crm,customer420@gmail.com,True,1,customer420@gmail.com,"crm,website",2.0
Maria,Smith,+15551234567,APAC,2020-01-01,True,crm,customer307@yahoo.com,True,1,customer307@yahoo.com,crm,1.0
Chris,Jones,+15551234567,US,2021-06-01,True,crm,customer404@company.com,True,1,customer404@company.com,"crm,website",2.0
Sam,Wang,+442079460958,EU,2021-08-01,False,crm,customer64@yahoo.com,True,1,customer64@yahoo.com,"crm,website",2.0
O'Brien,Kim,02079460958,US,2021-09-01,False,crm,customer194@company.com,True,1,customer194@company.com,"crm,website",2.0
Sam,Díaz,5551234567,EU,2022-05-01,False,crm,customer445@yahoo.com,True,1,customer445@yahoo.com,"crm,website,erp",3.0
Mike,Díaz,5551234567,US,2021-04-01,True,crm,customer359@company.com,True,1,customer359@company.com,"crm,website",2.0
O'Brien,López,+15551234567,APAC,2022-08-01,False,crm,customer79@yahoo.com,True,1,customer79@yahoo.com,"crm,erp",2.0
Müller,Martínez,5551234567,APAC,2023-11-01,False,crm,customer102@gmail.com,True,1,customer102@gmail.com,"crm,website",2.0
Sam,Brown,+81312345678,APAC,2020-09-01,True,crm,customer239@company.com,True,1,customer239@company.com,"crm,website",2.0
André,Jones,+81312345678,EU,2021-08-01,False,crm,customer260@company.com,True,1,customer260@company.com,crm,1.0
Sam,Brown,5551234567,US,2023-01-01,False,crm,customer374@company.com,True,1,customer374@company.com,"crm,website",2.0
André,González,+81312345678,US,2020-05-01,False,crm,customer279@gmail.com,True,1,customer279@gmail.com,"crm,website,erp",3.0
Müller,Martínez,02079460958,US,2020-02-01,False,crm,customer379@yahoo.com,True,1,customer379@yahoo.com,"crm,website",2.0
José,Williams,5551234567,APAC,2022-06-01,False,crm,customer700@yahoo.com,True,1,customer700@yahoo.com,"crm,website",2.0
Müller,Kim,5551234567,APAC,2021-10-01,True,crm,customer595@yahoo.com,True,1,customer595@yahoo.com,"crm,website",2.0
Mike,López,+15551234567,US,2021-01-01,False,crm,customer399@gmail.com,True,1,customer399@gmail.com,"crm,erp",2.0
Pat,Wang,,US,2020-05-01,True,crm,customer15@gmail.com,True,1,customer15@gmail.com,crm,1.0
Pat,Johnson,02079460958,US,2023-11-01,False,crm,customer784@yahoo.com,True,1,customer784@yahoo.com,"crm,website",2.0
José,Smith,+81312345678,EU,2021-03-01,False,crm,customer603@gmail.com,True,1,customer603@gmail.com,"crm,website,erp",3.0
Léa,Jones,+15551234567,US,2021-02-01,False,crm,customer566@company.com,True,1,customer566@company.com,"crm,website",2.0
Sarah,Johnson,+81312345678,US,2022-10-01,False,crm,customer120@gmail.com,True,1,customer120@gmail.com,crm,1.0
André,Brown,5551234567,EU,2020-08-01,False,crm,customer796@yahoo.com,True,1,customer796@yahoo.com,"crm,website",2.0
O'Brien,Martínez,5551234567,US,2020-11-01,True,crm,customer23@company.com,True,1,customer23@company.com,"crm,erp",2.0
José,Brown,+15551234567,US,2022-08-01,False,crm,customer36@gmail.com,True,1,customer36@gmail.com,"crm,erp",2.0
Sarah,Jones,5551234567,US,2023-03-01,True,crm,customer466@yahoo.com,True,1,customer466@yahoo.com,crm,1.0
Jane,Brown,02079460958,US,2021-07-01,False,crm,customer432@gmail.com,True,1,customer432@gmail.com,"crm,website",2.0
José,Martínez,+442079460958,US,2020-02-01,False,crm,customer612@gmail.com,True,1,customer612@gmail.com,"crm,website",2.0
Maria,Brown,02079460958,EU,2023-06-01,True,crm,customer83@company.com,True,1,customer83@company.com,"crm,website",2.0
