CustomerEmail,First Name,Last Name,Phone,Region,Registration Date,OptOut
customer92@company.com,Jane,Díaz,+1 (555) 123-4567,North America,2020-01-01,0
customer620@company.com,Sarah,Martínez,+44 20 7946 0958,us,2020-01-01,0
customer752@company.com,André,Kim,+44 20 7946 0958,N/A,2020-01-01,0
customer423@gmail.com,Mike,Kim,5551234567,europe,2020-01-01,0
customer141@gmail.com,Maria,Wang,+44 20 7946 0958,eu,2020-01-01,0
customer290@company.com,André,Martínez,020 7946 0958,APAC,2020-01-01,1
customer431@company.com,José,Garcia,5551234567,eu,2020-01-02,1
customer748@yahoo.com,John,Jones,5551234567,US,2020-01-02,0
customer688@yahoo.com,José,Smith,invalid-phone,apac,2020-01-02,0
customer652@yahoo.com,John,Brown,555.123.4567,APAC,2020-01-02,0
customer700@yahoo.com,Alex,Wang,5551234567,North America,2020-01-02,0
customer48@gmail.com,José,Garcia,+1 (555) 123-4567,Asia Pacific,2020-01-02,0
customer301@yahoo.com,Pat,Johnson,020 7946 0958,Europe,2020-01-03,0
customer189@gmail.com,Sarah,Johnson,invalid-phone,Europe,2020-01-03,0
customer135@gmail.com,José,González,+81-3-1234-5678,eu,2020-01-03,0
customer554@company.com,Mike,Garcia,+1 (555) 123-4567,EU,2020-01-03,1
customer403@yahoo.com,Müller,Jones,020 7946 0958,EMEA,2020-01-03,0
customer601@yahoo.com,Mike,López,+81-3-1234-5678,Asia,2020-01-03,0
customer340@yahoo.com,François,Smith,+1 (555) 123-4567,North America,2020-01-04,0
customer756@gmail.com,Maria,Williams,+44 20 7946 0958,eu,2020-01-04,0
customer703@yahoo.com,André,Díaz,+44 20 7946 0958,AP,2020-01-04,0
customer317@company.com,José,González,020 7946 0958,united states,2020-01-04,0
customer617@company.com,Pat,Williams,555.123.4567,US,2020-01-04,0
customer362@company.com,André,González,+1 (555) 123-4567,USA,2020-01-04,0
customer381@gmail.com,John,Jones,invalid-phone,europe,2020-01-05,0
customer232@yahoo.com,Jane,Williams,020 7946 0958,EMEA,2020-01-05,0
customer776@company.com,Mike,López,+44 20 7946 0958,eu,2020-01-05,0
customer343@yahoo.com,Pat,Johnson,5551234567,Europe,2020-01-05,1
customer548@company.com,François,Johnson,+1 (555) 123-4567,eu,2020-01-05,0
customer552@gmail.com,José,Brown,invalid-phone,EU,2020-01-05,1
customer528@gmail.com,José,González,020 7946 0958,europe,2020-01-06,0
customer788@company.com,José,Johnson,+44 20 7946 0958,North America,2020-01-06,1
customer570@gmail.com,Pat,Díaz,+81-3-1234-5678,,2020-01-06,0
customer182@company.com,Chris,Brown,+44 20 7946 0958,eu,2020-01-06,0
customer40@yahoo.com,Chris,López,5551234567,North America,2020-01-06,0
customer550@yahoo.com,Müller,Martínez,5551234567,US,2020-01-06,0
customer396@gmail.com,Alex,Garcia,+44 20 7946 0958,apac,2020-01-07,0
customer703@yahoo.com,Chris,Kim,+44 20 7946 0958,Europe,2020-01-07,0
customer778@yahoo.com,Alex,Garcia,+44 20 7946 0958,EU,2020-01-07,0
customer493@yahoo.com,O'Brien,Johnson,020 7946 0958,us,2020-01-07,0
customer658@yahoo.com,François,Williams,555.123.4567,europe,2020-01-07,0
customer332@company.com,Müller,Brown,,APAC,2020-01-07,0
